timestamp,wind_speed,wind_direction,wave_height,visibility,temperature,sea_state
2025-10-06T20:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-06T21:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-06T22:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-06T23:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T00:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T01:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T02:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T03:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T04:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T05:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T06:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T07:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T08:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T09:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T10:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T11:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T12:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T13:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T14:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T15:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T16:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T17:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T18:46:02.663850,8.0,270.0,1.2,,,Slight
2025-10-07T19:46:02.663850,8.0,270.0,1.2,,,Slight
