timestamp,wind_speed,wind_direction,wave_height,visibility,temperature,sea_state
2025-10-06T20:56:04.733780,8.0,270.0,1.0,10.0,,Slight
2025-10-06T21:56:04.733780,10.0,285.0,1.3,10.0,,Slight
2025-10-06T22:56:04.733780,12.0,300.0,1.6,10.0,,Moderate
2025-10-06T23:56:04.733780,14.0,315.0,1.9,10.0,,Moderate
2025-10-07T00:56:04.733780,16.0,330.0,2.2,10.0,,Moderate
2025-10-07T01:56:04.733780,18.0,345.0,2.5,10.0,,Rough
2025-10-07T02:56:04.733780,20.0,360.0,1.0,10.0,,Slight
2025-10-07T03:56:04.733780,22.0,375.0,1.3,10.0,,Slight
2025-10-07T04:56:04.733780,8.0,390.0,1.6,10.0,,Moderate
2025-10-07T05:56:04.733780,10.0,405.0,1.9,10.0,,Moderate
2025-10-07T06:56:04.733780,12.0,420.0,2.2,10.0,,Moderate
2025-10-07T07:56:04.733780,14.0,435.0,2.5,10.0,,Rough
2025-10-07T08:56:04.733780,16.0,450.0,1.0,10.0,,Slight
2025-10-07T09:56:04.733780,18.0,465.0,1.3,10.0,,Slight
2025-10-07T10:56:04.733780,20.0,480.0,1.6,10.0,,Moderate
2025-10-07T11:56:04.733780,22.0,495.0,1.9,10.0,,Moderate
2025-10-07T12:56:04.733780,8.0,510.0,2.2,10.0,,Moderate
2025-10-07T13:56:04.733780,10.0,525.0,2.5,10.0,,Rough
2025-10-07T14:56:04.733780,12.0,540.0,1.0,10.0,,Slight
2025-10-07T15:56:04.733780,14.0,555.0,1.3,10.0,,Slight
2025-10-07T16:56:04.733780,16.0,570.0,1.6,10.0,,Moderate
2025-10-07T17:56:04.733780,18.0,585.0,1.9,10.0,,Moderate
2025-10-07T18:56:04.733780,20.0,600.0,2.2,10.0,,Moderate
2025-10-07T19:56:04.733780,22.0,615.0,2.5,10.0,,Rough
