timestamp,decision,reasoning
2025-10-06T22:30:22.873948,GO,풍속 및 파고 조건 양호
2025-10-06T23:30:22.873948,GO,풍속 및 파고 조건 양호
2025-10-07T00:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T01:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T02:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T03:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T04:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T05:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T06:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T07:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T08:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T09:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T10:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T11:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T12:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T13:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T14:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T15:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T16:30:22.873948,GO,풍속 및 파고 조건 양호
2025-10-07T17:30:22.873948,GO,풍속 및 파고 조건 양호
2025-10-07T18:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T19:30:22.873948,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T20:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T21:30:22.873948,NO-GO,풍속 또는 파고 조건 불량
2025-10-06T22:30:22.874953,GO,풍속 및 파고 조건 양호
2025-10-06T23:30:22.874953,GO,풍속 및 파고 조건 양호
2025-10-07T00:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T01:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T02:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T03:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T04:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T05:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T06:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T07:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T08:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T09:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T10:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T11:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T12:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T13:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T14:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T15:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T16:30:22.874953,GO,풍속 및 파고 조건 양호
2025-10-07T17:30:22.874953,GO,풍속 및 파고 조건 양호
2025-10-07T18:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T19:30:22.874953,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T20:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T21:30:22.874953,NO-GO,풍속 또는 파고 조건 불량
