timestamp,decision,reasoning
2025-10-06T22:16:50.073630,GO,풍속 및 파고 조건 양호
2025-10-06T23:16:50.073630,GO,풍속 및 파고 조건 양호
2025-10-07T00:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T01:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T02:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T03:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T04:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T05:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T06:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T07:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T08:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T09:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T10:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T11:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T12:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T13:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T14:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T15:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T16:16:50.073630,GO,풍속 및 파고 조건 양호
2025-10-07T17:16:50.073630,GO,풍속 및 파고 조건 양호
2025-10-07T18:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T19:16:50.073630,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T20:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T21:16:50.073630,NO-GO,풍속 또는 파고 조건 불량
2025-10-06T22:16:50.074651,GO,풍속 및 파고 조건 양호
2025-10-06T23:16:50.074651,GO,풍속 및 파고 조건 양호
2025-10-07T00:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T01:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T02:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T03:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T04:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T05:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T06:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T07:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T08:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T09:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T10:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T11:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T12:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T13:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T14:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T15:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T16:16:50.074651,GO,풍속 및 파고 조건 양호
2025-10-07T17:16:50.074651,GO,풍속 및 파고 조건 양호
2025-10-07T18:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T19:16:50.074651,CONDITIONAL,조건부 운항 가능 - 주의 필요
2025-10-07T20:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
2025-10-07T21:16:50.074651,NO-GO,풍속 또는 파고 조건 불량
